"time","aqa_montesori_nivel_calle.pm25"
"2020-03-29T20:03:40.000Z","41"
"2020-03-29T20:03:50.000Z","40.5"
"2020-03-29T20:04:00.000Z","41.5"
"2020-03-29T20:04:10.000Z","43.666666666666664"
"2020-03-29T20:04:20.000Z","45.666666666666664"
"2020-03-29T20:04:30.000Z","52.5"
"2020-03-29T20:04:40.000Z","49.666666666666664"
"2020-03-29T20:04:50.000Z","51"
"2020-03-29T20:05:00.000Z","50.333333333333336"
"2020-03-29T20:05:10.000Z","45"
"2020-03-29T20:05:20.000Z","45.333333333333336"
"2020-03-29T20:05:30.000Z","43.5"
"2020-03-29T20:05:40.000Z","43"
"2020-03-29T20:05:50.000Z","49.666666666666664"
"2020-03-29T20:06:00.000Z","48.5"
"2020-03-29T20:06:10.000Z","44.5"
"2020-03-29T20:06:20.000Z","47"
"2020-03-29T20:06:30.000Z","52.333333333333336"
"2020-03-29T20:06:40.000Z","44.5"
"2020-03-29T20:06:50.000Z","44.666666666666664"
"2020-03-29T20:07:00.000Z","44"
"2020-03-29T20:07:10.000Z","51"
"2020-03-29T20:07:20.000Z","45.5"
"2020-03-29T20:07:30.000Z","45"
"2020-03-29T20:07:40.000Z","46.666666666666664"
"2020-03-29T20:07:50.000Z","50"
"2020-03-29T20:08:00.000Z","45"
"2020-03-29T20:08:10.000Z","49"
"2020-03-29T20:08:20.000Z","52"
"2020-03-29T20:08:30.000Z","51"
"2020-03-29T20:08:40.000Z","53"
"2020-03-29T20:08:50.000Z","45.666666666666664"
"2020-03-29T20:09:00.000Z","38.5"
"2020-03-29T20:09:10.000Z","46"
"2020-03-29T20:09:20.000Z","49.333333333333336"
"2020-03-29T20:09:30.000Z","48"
"2020-03-29T20:09:50.000Z","45.5"
"2020-03-29T20:10:00.000Z","44.666666666666664"
"2020-03-29T20:10:10.000Z","50"
"2020-03-29T20:10:20.000Z","49.5"
"2020-03-29T20:10:30.000Z","44.666666666666664"
"2020-03-29T20:10:40.000Z","49"
"2020-03-29T20:10:50.000Z","47"
"2020-03-29T20:11:00.000Z","49"
"2020-03-29T20:11:10.000Z","51"
"2020-03-29T20:11:20.000Z","53"
"2020-03-29T20:11:30.000Z","49"
"2020-03-29T20:11:40.000Z","46.5"
"2020-03-29T20:11:50.000Z","45"
"2020-03-29T20:12:00.000Z","50.5"
"2020-03-29T20:12:10.000Z","53"
"2020-03-29T20:12:20.000Z","49"
"2020-03-29T20:12:30.000Z","51.333333333333336"
"2020-03-29T20:12:40.000Z","47"
"2020-03-29T20:12:50.000Z","52.666666666666664"
"2020-03-29T20:13:00.000Z","52.5"
"2020-03-29T20:13:10.000Z","51.333333333333336"
"2020-03-29T20:13:20.000Z","55"
"2020-03-29T20:13:30.000Z","46.333333333333336"
"2020-03-29T20:13:40.000Z","45.5"
"2020-03-29T20:13:50.000Z","47.5"
"2020-03-29T20:14:00.000Z","45.333333333333336"
"2020-03-29T20:14:10.000Z","45.5"
"2020-03-29T20:14:20.000Z","49"
"2020-03-29T20:14:30.000Z","42.5"
"2020-03-29T20:14:40.000Z","44.666666666666664"
"2020-03-29T20:14:50.000Z","47.5"
"2020-03-29T20:15:00.000Z","46.333333333333336"
"2020-03-29T20:15:10.000Z","49.5"
"2020-03-29T20:15:20.000Z","49"
"2020-03-29T20:15:30.000Z","42"
"2020-03-29T20:15:40.000Z","47.5"
"2020-03-29T20:15:50.000Z","48.666666666666664"
"2020-03-29T20:16:00.000Z","52"
"2020-03-29T20:16:10.000Z","49"
"2020-03-29T20:16:20.000Z","50.5"
"2020-03-29T20:16:30.000Z","44"
"2020-03-29T20:16:40.000Z","47"
"2020-03-29T20:16:50.000Z","51"
"2020-03-29T20:17:00.000Z","46"
"2020-03-29T20:17:10.000Z","46.333333333333336"
"2020-03-29T20:17:20.000Z","44"
"2020-03-29T20:17:30.000Z","44.666666666666664"
"2020-03-29T20:17:40.000Z","49.5"
"2020-03-29T20:17:50.000Z","52.5"
"2020-03-29T20:18:00.000Z","46.333333333333336"
"2020-03-29T20:18:10.000Z","50.333333333333336"
"2020-03-29T20:18:20.000Z","50.5"
"2020-03-29T20:18:30.000Z","49.666666666666664"
"2020-03-29T20:18:40.000Z","47"
"2020-03-29T20:18:50.000Z","47"
"2020-03-29T20:19:00.000Z","46.5"
"2020-03-29T20:19:10.000Z","44.5"
"2020-03-29T20:19:20.000Z","40.333333333333336"
"2020-03-29T20:19:30.000Z","42"
"2020-03-29T20:19:40.000Z","45.666666666666664"
"2020-03-29T20:19:50.000Z","46.5"
"2020-03-29T20:20:00.000Z","49"
"2020-03-29T20:20:10.000Z","46"
"2020-03-29T20:20:20.000Z","45"
"2020-03-29T20:20:30.000Z","42"
"2020-03-29T20:20:40.000Z","52"
"2020-03-29T20:20:50.000Z","51.666666666666664"
"2020-03-29T20:21:00.000Z","54.5"
"2020-03-29T20:21:10.000Z","49.5"
"2020-03-29T20:21:20.000Z","46.666666666666664"
"2020-03-29T20:21:30.000Z","49.333333333333336"
"2020-03-29T20:21:40.000Z","47"
"2020-03-29T20:21:50.000Z","46.333333333333336"
"2020-03-29T20:22:00.000Z","46"
"2020-03-29T20:22:10.000Z","46"
"2020-03-29T20:22:20.000Z","46.5"
"2020-03-29T20:22:30.000Z","49.333333333333336"
"2020-03-29T20:22:40.000Z","50.333333333333336"
"2020-03-29T20:22:50.000Z","49.666666666666664"
"2020-03-29T20:23:00.000Z","49"
"2020-03-29T20:23:10.000Z","46.333333333333336"
"2020-03-29T20:23:20.000Z","47.5"
